Roll,PCode,Semester,Year,Preference,Confirmed
1851164,BIOT4221,8,2022,6,0
1851164,BIOT4222,8,2022,1,0
1851164,BIOT4223,8,2022,2,0
1851164,CHEN4222,8,2022,3,0
1851164,AEIE4222,8,2022,5,0
1851164,ECEN4223,8,2022,4,0
1851164,ECEN4221,8,2022,7,0
1851164,HMTS4222,8,2022,8,0
1851160,BIOT4221,8,2022,6,0
1851160,BIOT4222,8,2022,1,0
1851160,BIOT4223,8,2022,2,0
1851160,CHEN4222,8,2022,3,0
1851160,AEIE4222,8,2022,5,0
1851160,ECEN4223,8,2022,4,0
1851160,ECEN4221,8,2022,7,0
1851160,HMTS4222,8,2022,8,0
1851182,BIOT4221,8,2022,6,0
1851182,BIOT4222,8,2022,1,0
1851182,BIOT4223,8,2022,2,0
1851182,CHEN4222,8,2022,3,0
1851182,AEIE4222,8,2022,5,0
1851182,ECEN4223,8,2022,4,0
1851182,ECEN4221,8,2022,7,0
1851182,HMTS4222,8,2022,8,0
1261801,BIOT4221,8,2022,6,0
1261801,BIOT4222,8,2022,1,0
1261801,BIOT4223,8,2022,2,0
1261801,CHEN4222,8,2022,3,0
1261801,AEIE4222,8,2022,5,0
1261801,ECEN4223,8,2022,4,0
1261801,ECEN4221,8,2022,7,0
1261801,HMTS4222,8,2022,8,0
1851188,BIOT4221,8,2022,6,0
1851188,BIOT4222,8,2022,1,0
1851188,BIOT4223,8,2022,2,0
1851188,CHEN4222,8,2022,3,0
1851188,AEIE4222,8,2022,5,0
1851188,ECEN4223,8,2022,4,0
1851188,ECEN4221,8,2022,7,0
1851188,HMTS4222,8,2022,8,0
1851161,BIOT4221,8,2022,6,0
1851161,BIOT4222,8,2022,1,0
1851161,BIOT4223,8,2022,2,0
1851161,CHEN4222,8,2022,3,0
1851161,AEIE4222,8,2022,5,0
1851161,ECEN4223,8,2022,4,0
1851161,ECEN4221,8,2022,7,0
1851161,HMTS4222,8,2022,8,0
1851239,BIOT4221,8,2022,8,0
1851239,BIOT4222,8,2022,1,0
1851239,BIOT4223,8,2022,2,0
1851239,CHEN4222,8,2022,5,0
1851239,AEIE4222,8,2022,6,0
1851239,ECEN4223,8,2022,4,0
1851239,ECEN4221,8,2022,7,0
1851239,HMTS4222,8,2022,3,0
1851149,BIOT4221,8,2022,5,0
1851149,BIOT4222,8,2022,1,0
1851149,BIOT4223,8,2022,3,0
1851149,CHEN4222,8,2022,2,0
1851149,AEIE4222,8,2022,6,0
1851149,ECEN4223,8,2022,4,0
1851149,ECEN4221,8,2022,7,0
1851149,HMTS4222,8,2022,8,0
1851010,BIOT4221,8,2022,3,0
1851010,BIOT4222,8,2022,1,0
1851010,BIOT4223,8,2022,5,0
1851010,CHEN4222,8,2022,2,0
1851010,AEIE4222,8,2022,6,0
1851010,ECEN4223,8,2022,4,0
1851010,ECEN4221,8,2022,7,0
1851010,HMTS4222,8,2022,8,0
1851053,BIOT4221,8,2022,4,0
1851053,BIOT4222,8,2022,1,0
1851053,BIOT4223,8,2022,3,0
1851053,CHEN4222,8,2022,2,0
1851053,AEIE4222,8,2022,6,0
1851053,ECEN4223,8,2022,5,0
1851053,ECEN4221,8,2022,7,0
1851053,HMTS4222,8,2022,3,0
1851025,BIOT4221,8,2022,3,0
1851025,BIOT4222,8,2022,2,0
1851025,BIOT4223,8,2022,1,0
1851025,CHEN4222,8,2022,4,0
1851025,AEIE4222,8,2022,6,0
1851025,ECEN4223,8,2022,5,0
1851025,ECEN4221,8,2022,7,0
1851025,HMTS4222,8,2022,8,0
1851210,BIOT4221,8,2022,6,0
1851210,BIOT4222,8,2022,2,0
1851210,BIOT4223,8,2022,3,0
1851210,CHEN4222,8,2022,4,0
1851210,AEIE4222,8,2022,8,0
1851210,ECEN4223,8,2022,5,0
1851210,ECEN4221,8,2022,7,0
1851210,HMTS4222,8,2022,1,0
1851258,BIOT4221,8,2022,5,0
1851258,BIOT4222,8,2022,3,0
1851258,BIOT4223,8,2022,4,0
1851258,CHEN4222,8,2022,2,0
1851258,AEIE4222,8,2022,1,0
1851258,ECEN4223,8,2022,6,0
1851258,ECEN4221,8,2022,7,0
1851258,HMTS4222,8,2022,8,0
1851243,BIOT4221,8,2022,4,0
1851243,BIOT4222,8,2022,2,0
1851243,BIOT4223,8,2022,1,0
1851243,CHEN4222,8,2022,5,0
1851243,AEIE4222,8,2022,3,0
1851243,ECEN4223,8,2022,6,0
1851243,ECEN4221,8,2022,7,0
1851243,HMTS4222,8,2022,8,0
1851242,BIOT4221,8,2022,4,0
1851242,BIOT4222,8,2022,2,0
1851242,BIOT4223,8,2022,1,0
1851242,CHEN4222,8,2022,5,0
1851242,AEIE4222,8,2022,3,0
1851242,ECEN4223,8,2022,6,0
1851242,ECEN4221,8,2022,7,0
1851242,HMTS4222,8,2022,8,0
1851244,BIOT4221,8,2022,4,0
1851244,BIOT4222,8,2022,2,0
1851244,BIOT4223,8,2022,1,0
1851244,CHEN4222,8,2022,5,0
1851244,AEIE4222,8,2022,3,0
1851244,ECEN4223,8,2022,6,0
1851244,ECEN4221,8,2022,7,0
1851244,HMTS4222,8,2022,8,0
1851062,BIOT4221,8,2022,4,0
1851062,BIOT4222,8,2022,1,0
1851062,BIOT4223,8,2022,2,0
1851062,CHEN4222,8,2022,5,0
1851062,AEIE4222,8,2022,3,0
1851062,ECEN4223,8,2022,6,0
1851062,ECEN4221,8,2022,7,0
1851062,HMTS4222,8,2022,8,0
1261802,BIOT4221,8,2022,5,0
1261802,BIOT4222,8,2022,1,0
1261802,BIOT4223,8,2022,2,0
1261802,CHEN4222,8,2022,4,0
1261802,AEIE4222,8,2022,3,0
1261802,ECEN4223,8,2022,6,0
1261802,ECEN4221,8,2022,7,0
1261802,HMTS4222,8,2022,8,0
1851218,BIOT4221,8,2022,5,0
1851218,BIOT4222,8,2022,3,0
1851218,BIOT4223,8,2022,2,0
1851218,CHEN4222,8,2022,8,0
1851218,AEIE4222,8,2022,4,0
1851218,ECEN4223,8,2022,6,0
1851218,ECEN4221,8,2022,7,0
1851218,HMTS4222,8,2022,1,0
1851050,BIOT4221,8,2022,5,0
1851050,BIOT4222,8,2022,1,0
1851050,BIOT4223,8,2022,3,0
1851050,CHEN4222,8,2022,2,0
1851050,AEIE4222,8,2022,4,0
1851050,ECEN4223,8,2022,6,0
1851050,ECEN4221,8,2022,7,0
1851050,HMTS4222,8,2022,8,0
1851030,BIOT4221,8,2022,3,0
1851030,BIOT4222,8,2022,2,0
1851030,BIOT4223,8,2022,1,0
1851030,CHEN4222,8,2022,4,0
1851030,AEIE4222,8,2022,5,0
1851030,ECEN4223,8,2022,6,0
1851030,ECEN4221,8,2022,7,0
1851030,HMTS4222,8,2022,8,0
1851108,BIOT4221,8,2022,3,0
1851108,BIOT4222,8,2022,2,0
1851108,BIOT4223,8,2022,1,0
1851108,CHEN4222,8,2022,4,0
1851108,AEIE4222,8,2022,5,0
1851108,ECEN4223,8,2022,6,0
1851108,ECEN4221,8,2022,7,0
1851108,HMTS4222,8,2022,8,0
1851035,BIOT4221,8,2022,4,0
1851035,BIOT4222,8,2022,3,0
1851035,BIOT4223,8,2022,1,0
1851035,CHEN4222,8,2022,2,0
1851035,AEIE4222,8,2022,5,0
1851035,ECEN4223,8,2022,6,0
1851035,ECEN4221,8,2022,7,0
1851035,HMTS4222,8,2022,8,0
1851101,BIOT4221,8,2022,4,0
1851101,BIOT4222,8,2022,2,0
1851101,BIOT4223,8,2022,1,0
1851101,CHEN4222,8,2022,3,0
1851101,AEIE4222,8,2022,5,0
1851101,ECEN4223,8,2022,6,0
1851101,ECEN4221,8,2022,7,0
1851101,HMTS4222,8,2022,8,0
1851241,BIOT4221,8,2022,3,0
1851241,BIOT4222,8,2022,1,0
1851241,BIOT4223,8,2022,2,0
1851241,CHEN4222,8,2022,4,0
1851241,AEIE4222,8,2022,5,0
1851241,ECEN4223,8,2022,6,0
1851241,ECEN4221,8,2022,7,0
1851241,HMTS4222,8,2022,8,0
