Roll,PCode,Semester,Year,Preference,Confirmed
1851208,BIOT4221,8,2022,7,0
1851208,BIOT4222,8,2022,2,0
1851208,BIOT4223,8,2022,3,0
1851208,CHEN4222,8,2022,4,0
1851208,AEIE4222,8,2022,6,0
1851208,ECEN4223,8,2022,8,0
1851208,ECEN4221,8,2022,5,0
1851208,HMTS4222,8,2022,1,0
1851013,BIOT4221,8,2022,7,0
1851013,BIOT4222,8,2022,2,0
1851013,BIOT4223,8,2022,3,0
1851013,CHEN4222,8,2022,4,0
1851013,AEIE4222,8,2022,6,0
1851013,ECEN4223,8,2022,8,0
1851013,ECEN4221,8,2022,5,0
1851013,HMTS4222,8,2022,1,0
1851059,BIOT4221,8,2022,4,0
1851059,BIOT4222,8,2022,2,0
1851059,BIOT4223,8,2022,6,0
1851059,CHEN4222,8,2022,3,0
1851059,AEIE4222,8,2022,7,0
1851059,ECEN4223,8,2022,8,0
1851059,ECEN4221,8,2022,5,0
1851059,HMTS4222,8,2022,1,0
1851198,BIOT4221,8,2022,6,0
1851198,BIOT4222,8,2022,2,0
1851198,BIOT4223,8,2022,1,0
1851198,CHEN4222,8,2022,3,0
1851198,AEIE4222,8,2022,7,0
1851198,ECEN4223,8,2022,8,0
1851198,ECEN4221,8,2022,5,0
1851198,HMTS4222,8,2022,4,0
1851156,BIOT4221,8,2022,6,0
1851156,BIOT4222,8,2022,1,0
1851156,BIOT4223,8,2022,2,0
1851156,CHEN4222,8,2022,3,0
1851156,AEIE4222,8,2022,7,0
1851156,ECEN4223,8,2022,8,0
1851156,ECEN4221,8,2022,5,0
1851156,HMTS4222,8,2022,4,0
1851264,BIOT4221,8,2022,8,0
1851264,BIOT4222,8,2022,3,0
1851264,BIOT4223,8,2022,4,0
1851264,CHEN4222,8,2022,1,0
1851264,AEIE4222,8,2022,5,0
1851264,ECEN4223,8,2022,2,0
1851264,ECEN4221,8,2022,6,0
1851264,HMTS4222,8,2022,7,0
1851119,BIOT4221,8,2022,3,0
1851119,BIOT4222,8,2022,1,0
1851119,BIOT4223,8,2022,4,0
1851119,CHEN4222,8,2022,7,0
1851119,AEIE4222,8,2022,5,0
1851119,ECEN4223,8,2022,2,0
1851119,ECEN4221,8,2022,6,0
1851119,HMTS4222,8,2022,8,0
1851057,BIOT4221,8,2022,8,0
1851057,BIOT4222,8,2022,1,0
1851057,BIOT4223,8,2022,4,0
1851057,CHEN4222,8,2022,2,0
1851057,AEIE4222,8,2022,5,0
1851057,ECEN4223,8,2022,3,0
1851057,ECEN4221,8,2022,6,0
1851057,HMTS4222,8,2022,7,0
1851255,BIOT4221,8,2022,4,0
1851255,BIOT4222,8,2022,3,0
1851255,BIOT4223,8,2022,4,0
1851255,CHEN4222,8,2022,2,0
1851255,AEIE4222,8,2022,5,0
1851255,ECEN4223,8,2022,4,0
1851255,ECEN4221,8,2022,6,0
1851255,HMTS4222,8,2022,1,0
1851020,BIOT4221,8,2022,7,0
1851020,BIOT4222,8,2022,2,0
1851020,BIOT4223,8,2022,8,0
1851020,CHEN4222,8,2022,3,0
1851020,AEIE4222,8,2022,5,0
1851020,ECEN4223,8,2022,4,0
1851020,ECEN4221,8,2022,6,0
1851020,HMTS4222,8,2022,1,0
1851089,BIOT4221,8,2022,8,0
1851089,BIOT4222,8,2022,2,0
1851089,BIOT4223,8,2022,1,0
1851089,CHEN4222,8,2022,3,0
1851089,AEIE4222,8,2022,7,0
1851089,ECEN4223,8,2022,4,0
1851089,ECEN4221,8,2022,6,0
1851089,HMTS4222,8,2022,5,0
1851069,BIOT4221,8,2022,8,0
1851069,BIOT4222,8,2022,1,0
1851069,BIOT4223,8,2022,3,0
1851069,CHEN4222,8,2022,2,0
1851069,AEIE4222,8,2022,4,0
1851069,ECEN4223,8,2022,5,0
1851069,ECEN4221,8,2022,6,0
1851069,HMTS4222,8,2022,7,0
1851256,BIOT4221,8,2022,1,0
1851256,BIOT4222,8,2022,2,0
1851256,BIOT4223,8,2022,8,0
1851256,CHEN4222,8,2022,3,0
1851256,AEIE4222,8,2022,4,0
1851256,ECEN4223,8,2022,5,0
1851256,ECEN4221,8,2022,6,0
1851256,HMTS4222,8,2022,7,0
1851155,BIOT4221,8,2022,2,0
1851155,BIOT4222,8,2022,1,0
1851155,BIOT4223,8,2022,8,0
1851155,CHEN4222,8,2022,3,0
1851155,AEIE4222,8,2022,4,0
1851155,ECEN4223,8,2022,5,0
1851155,ECEN4221,8,2022,6,0
1851155,HMTS4222,8,2022,7,0
1851122,BIOT4221,8,2022,7,0
1851122,BIOT4222,8,2022,2,0
1851122,BIOT4223,8,2022,3,0
1851122,CHEN4222,8,2022,4,0
1851122,AEIE4222,8,2022,8,0
1851122,ECEN4223,8,2022,5,0
1851122,ECEN4221,8,2022,6,0
1851122,HMTS4222,8,2022,1,0
1851169,BIOT4221,8,2022,7,0
1851169,BIOT4222,8,2022,2,0
1851169,BIOT4223,8,2022,4,0
1851169,CHEN4222,8,2022,3,0
1851169,AEIE4222,8,2022,8,0
1851169,ECEN4223,8,2022,5,0
1851169,ECEN4221,8,2022,6,0
1851169,HMTS4222,8,2022,1,0
1851240,BIOT4221,8,2022,7,0
1851240,BIOT4222,8,2022,2,0
1851240,BIOT4223,8,2022,4,0
1851240,CHEN4222,8,2022,3,0
1851240,AEIE4222,8,2022,8,0
1851240,ECEN4223,8,2022,5,0
1851240,ECEN4221,8,2022,6,0
1851240,HMTS4222,8,2022,1,0
1851207,BIOT4221,8,2022,7,0
1851207,BIOT4222,8,2022,2,0
1851207,BIOT4223,8,2022,4,0
1851207,CHEN4222,8,2022,3,0
1851207,AEIE4222,8,2022,8,0
1851207,ECEN4223,8,2022,5,0
1851207,ECEN4221,8,2022,6,0
1851207,HMTS4222,8,2022,1,0
1851204,BIOT4221,8,2022,7,0
1851204,BIOT4222,8,2022,2,0
1851204,BIOT4223,8,2022,4,0
1851204,CHEN4222,8,2022,3,0
1851204,AEIE4222,8,2022,8,0
1851204,ECEN4223,8,2022,5,0
1851204,ECEN4221,8,2022,6,0
1851204,HMTS4222,8,2022,1,0
1851251,BIOT4221,8,2022,4,0
1851251,BIOT4222,8,2022,2,0
1851251,BIOT4223,8,2022,3,0
1851251,CHEN4222,8,2022,5,0
1851251,AEIE4222,8,2022,1,0
1851251,ECEN4223,8,2022,7,0
1851251,ECEN4221,8,2022,6,0
1851251,HMTS4222,8,2022,8,0
1851083,BIOT4221,8,2022,8,0
1851083,BIOT4222,8,2022,1,0
1851083,BIOT4223,8,2022,4,0
1851083,CHEN4222,8,2022,3,0
1851083,AEIE4222,8,2022,5,0
1851083,ECEN4223,8,2022,7,0
1851083,ECEN4221,8,2022,6,0
1851083,HMTS4222,8,2022,2,0
1851245,BIOT4221,8,2022,4,0
1851245,BIOT4222,8,2022,3,0
1851245,BIOT4223,8,2022,1,0
1851245,CHEN4222,8,2022,2,0
1851245,AEIE4222,8,2022,5,0
1851245,ECEN4223,8,2022,7,0
1851245,ECEN4221,8,2022,6,0
1851245,HMTS4222,8,2022,8,0
1851247,BIOT4221,8,2022,4,0
1851247,BIOT4222,8,2022,3,0
1851247,BIOT4223,8,2022,1,0
1851247,CHEN4222,8,2022,2,0
1851247,AEIE4222,8,2022,5,0
1851247,ECEN4223,8,2022,7,0
1851247,ECEN4221,8,2022,6,0
1851247,HMTS4222,8,2022,8,0
1851073,BIOT4221,8,2022,4,0
1851073,BIOT4222,8,2022,1,0
1851073,BIOT4223,8,2022,3,0
1851073,CHEN4222,8,2022,2,0
1851073,AEIE4222,8,2022,5,0
1851073,ECEN4223,8,2022,7,0
1851073,ECEN4221,8,2022,6,0
1851073,HMTS4222,8,2022,8,0
1851201,BIOT4221,8,2022,4,0
1851201,BIOT4222,8,2022,1,0
1851201,BIOT4223,8,2022,3,0
1851201,CHEN4222,8,2022,2,0
1851201,AEIE4222,8,2022,5,0
1851201,ECEN4223,8,2022,7,0
1851201,ECEN4221,8,2022,6,0
1851201,HMTS4222,8,2022,8,0
