Roll,PCode,Semester,Year,Preference,Confirmed
1851111,BIOT4221,8,2022,5,0
1851111,BIOT4222,8,2022,3,0
1851111,BIOT4223,8,2022,6,0
1851111,CHEN4222,8,2022,2,0
1851111,AEIE4222,8,2022,4,0
1851111,ECEN4223,8,2022,7,0
1851111,ECEN4221,8,2022,1,0
1851111,HMTS4222,8,2022,8,0
1851121,BIOT4221,8,2022,8,0
1851121,BIOT4222,8,2022,7,0
1851121,BIOT4223,8,2022,5,0
1851121,CHEN4222,8,2022,4,0
1851121,AEIE4222,8,2022,6,0
1851121,ECEN4223,8,2022,3,0
1851121,ECEN4221,8,2022,2,0
1851121,HMTS4222,8,2022,1,0
1851150,BIOT4221,8,2022,8,0
1851150,BIOT4222,8,2022,7,0
1851150,BIOT4223,8,2022,6,0
1851150,CHEN4222,8,2022,1,0
1851150,AEIE4222,8,2022,5,0
1851150,ECEN4223,8,2022,2,0
1851150,ECEN4221,8,2022,3,0
1851150,HMTS4222,8,2022,4,0
1851260,BIOT4221,8,2022,7,0
1851260,BIOT4222,8,2022,2,0
1851260,BIOT4223,8,2022,5,0
1851260,CHEN4222,8,2022,1,0
1851260,AEIE4222,8,2022,6,0
1851260,ECEN4223,8,2022,4,0
1851260,ECEN4221,8,2022,3,0
1851260,HMTS4222,8,2022,8,0
1851234,BIOT4221,8,2022,5,0
1851234,BIOT4222,8,2022,1,0
1851234,BIOT4223,8,2022,6,0
1851234,CHEN4222,8,2022,2,0
1851234,AEIE4222,8,2022,7,0
1851234,ECEN4223,8,2022,4,0
1851234,ECEN4221,8,2022,3,0
1851234,HMTS4222,8,2022,8,0
1851252,BIOT4221,8,2022,8,0
1851252,BIOT4222,8,2022,2,0
1851252,BIOT4223,8,2022,7,0
1851252,CHEN4222,8,2022,3,0
1851252,AEIE4222,8,2022,6,0
1851252,ECEN4223,8,2022,1,0
1851252,ECEN4221,8,2022,4,0
1851252,HMTS4222,8,2022,5,0
1851072,BIOT4221,8,2022,7,0
1851072,BIOT4222,8,2022,1,0
1851072,BIOT4223,8,2022,6,0
1851072,CHEN4222,8,2022,2,0
1851072,AEIE4222,8,2022,5,0
1851072,ECEN4223,8,2022,3,0
1851072,ECEN4221,8,2022,4,0
1851072,HMTS4222,8,2022,8,0
1851165,BIOT4221,8,2022,7,0
1851165,BIOT4222,8,2022,1,0
1851165,BIOT4223,8,2022,6,0
1851165,CHEN4222,8,2022,2,0
